"","ensembl_gene_id","hgnc_symbol"
"130","ENSG00000006282","SPATA20"
"131","ENSG00000006283","CACNA1G"
"132","ENSG00000006327","TNFRSF12A"
"133","ENSG00000006377","DLX6"
"134","ENSG00000006432","MAP3K9"
"135","ENSG00000006451","RALA"
"136","ENSG00000006453","BAIAP2L1"
"137","ENSG00000006459","KDM7A"
"138","ENSG00000006468","ETV1"
"139","ENSG00000006530","AGK"
"140","ENSG00000006534","ALDH3B1"
"141","ENSG00000006555","TTC22"
"142","ENSG00000006576","PHTF2"
"143","ENSG00000006606","CCL26"
"144","ENSG00000006607","FARP2"
"145","ENSG00000006611","USH1C"
"146","ENSG00000006625","GGCT"
"147","ENSG00000006634","DBF4"
"148","ENSG00000006638","TBXA2R"
"149","ENSG00000006652","IFRD1"
"150","ENSG00000006659","LGALS14"
"151","ENSG00000006695","COX10"
"152","ENSG00000006704","GTF2IRD1"
"153","ENSG00000006712","PAF1"
"154","ENSG00000006715","VPS41"
"155","ENSG00000006740","ARHGAP44"
"156","ENSG00000006744","ELAC2"
"157","ENSG00000006747","SCIN"
"158","ENSG00000006756","ARSD"
"159","ENSG00000006757","PNPLA4"
"160","ENSG00000006788","MYH13"
"161","ENSG00000006831","ADIPOR2"
"162","ENSG00000006837","CDKL3"
"163","ENSG00000007001","UPP2"
"164","ENSG00000007038","PRSS21"
"165","ENSG00000007047","MARK4"
"166","ENSG00000007062","PROM1"
"167","ENSG00000007080","CCDC124"
"168","ENSG00000007129","CEACAM21"
"169","ENSG00000007168","PAFAH1B1"
"170","ENSG00000007171","NOS2"
"171","ENSG00000007174","DNAH9"
"172","ENSG00000007202","KIAA0100"
"173","ENSG00000007216","SLC13A2"
"174","ENSG00000007237","GAS7"
"175","ENSG00000007255","TRAPPC6A"
"176","ENSG00000007264","MATK"
"177","ENSG00000007306","CEACAM7"
"178","ENSG00000007312","CD79B"
"179","ENSG00000007314","SCN4A"
"180","ENSG00000007341","ST7L"
"181","ENSG00000007350","TKTL1"
"182","ENSG00000007372","PAX6"
"183","ENSG00000007376","RPUSD1"
"184","ENSG00000007384","RHBDF1"
"185","ENSG00000007392","LUC7L"
"186","ENSG00000007402","CACNA2D2"
"187","ENSG00000007516","BAIAP3"
"188","ENSG00000007520","TSR3"
"189","ENSG00000007541","PIGQ"
"190","ENSG00000007545","CRAMP1"
"191","ENSG00000007866","TEAD3"
"192","ENSG00000007908","SELE"
"193","ENSG00000007923","DNAJC11"
"194","ENSG00000007933","FMO3"
"195","ENSG00000007944","MYLIP"
"196","ENSG00000007952","NOX1"
"197","ENSG00000007968","E2F2"
"198","ENSG00000008018","PSMB1"
"199","ENSG00000008056","SYN1"
"200","ENSG00000008083","JARID2"
"201","ENSG00000008086","CDKL5"
"202","ENSG00000008118","CAMK1G"
"203","ENSG00000008128","CDK11A"
"204","ENSG00000008130","NADK"
"205","ENSG00000008196","TFAP2B"
"206","ENSG00000008197","TFAP2D"
"207","ENSG00000008226","DLEC1"
"208","ENSG00000008256","CYTH3"
"209","ENSG00000008277","ADAM22"
"210","ENSG00000008282","SYPL1"
"211","ENSG00000008283","CYB561"
"212","ENSG00000008294","SPAG9"
"213","ENSG00000008300","CELSR3"
"214","ENSG00000008311","AASS"
"215","ENSG00000008323","PLEKHG6"
"216","ENSG00000008324","SS18L2"
"217","ENSG00000008382","MPND"
"218","ENSG00000008394","MGST1"
"219","ENSG00000008405","CRY1"
"220","ENSG00000008438","PGLYRP1"
"221","ENSG00000008441","NFIX"
"222","ENSG00000008513","ST3GAL1"
"223","ENSG00000008516","MMP25"
"224","ENSG00000008517","IL32"
"225","ENSG00000008710","PKD1"
"226","ENSG00000008735","MAPK8IP2"
"227","ENSG00000008838","MED24"
"228","ENSG00000008853","RHOBTB2"
"229","ENSG00000008869","HEATR5B"
"230","ENSG00000008952","SEC62"
"231","ENSG00000008988","RPS20"
"232","ENSG00000009307","CSDE1"
"233","ENSG00000009335","UBE3C"
"234","ENSG00000009413","REV3L"
"235","ENSG00000009694","TENM1"
"236","ENSG00000009709","PAX7"
"237","ENSG00000009724","MASP2"
"238","ENSG00000009765","IYD"
"239","ENSG00000009780","FAM76A"
"240","ENSG00000009790","TRAF3IP3"
"241","ENSG00000009830","POMT2"
"242","ENSG00000009844","VTA1"
"243","ENSG00000009950","MLXIPL"
"244","ENSG00000009954","BAZ1B"
"245","ENSG00000010017","RANBP9"
"246","ENSG00000010030","ETV7"
"247","ENSG00000010072","SPRTN"
"248","ENSG00000010165","EEF1AKNMT"
"249","ENSG00000010219","DYRK4"
"250","ENSG00000010244","ZNF207"
"251","ENSG00000010256","UQCRC1"
"252","ENSG00000010270","STARD3NL"
"253","ENSG00000010278","CD9"
"254","ENSG00000010282","HHATL"
"255","ENSG00000010292","NCAPD2"
"256","ENSG00000010295","IFFO1"
"257","ENSG00000010310","GIPR"
"258","ENSG00000010318","PHF7"
"259","ENSG00000010319","SEMA3G"
"260","ENSG00000010322","NISCH"
"261","ENSG00000010327","STAB1"
"262","ENSG00000010361","FUZ"
"263","ENSG00000010379","SLC6A13"
"264","ENSG00000010404","IDS"
"265","ENSG00000010438","PRSS3"
"266","ENSG00000010539","ZNF200"
"267","ENSG00000010610","CD4"
"268","ENSG00000010626","LRRC23"
"269","ENSG00000010671","BTK"
"270","ENSG00000010704","HFE"
"271","ENSG00000010803","SCMH1"
"272","ENSG00000010810","FYN"
"273","ENSG00000010818","HIVEP2"
"274","ENSG00000010932","FMO1"
"275","ENSG00000011007","ELOA"
"276","ENSG00000011009","LYPLA2"
"277","ENSG00000011021","CLCN6"
"278","ENSG00000011028","MRC2"
"279","ENSG00000011052","NME1-NME2"
"280","ENSG00000011083","SLC6A7"
"281","ENSG00000011105","TSPAN9"
"282","ENSG00000011114","BTBD7"
"283","ENSG00000011132","APBA3"
"284","ENSG00000011143","MKS1"
"285","ENSG00000011198","ABHD5"
"286","ENSG00000011201","ANOS1"
"287","ENSG00000011243","AKAP8L"
"288","ENSG00000011258","MBTD1"
"289","ENSG00000011260","UTP18"
"290","ENSG00000011275","RNF216"
"291","ENSG00000011295","TTC19"
"292","ENSG00000011304","PTBP1"
"293","ENSG00000011332","DPF1"
"294","ENSG00000011347","SYT7"
"295","ENSG00000011376","LARS2"
"296","ENSG00000011405","PIK3C2A"
"297","ENSG00000011422","PLAUR"
"298","ENSG00000011426","ANLN"
"299","ENSG00000011451","WIZ"
"300","ENSG00000011454","RABGAP1"
"301","ENSG00000011465","DCN"
"302","ENSG00000011478","QPCTL"
"303","ENSG00000011485","PPP5C"
"304","ENSG00000011523","CEP68"
"305","ENSG00000011566","MAP4K3"
"306","ENSG00000011590","ZBTB32"
"307","ENSG00000011600","TYROBP"
"308","ENSG00000011638","TMEM159"
"309","ENSG00000011677","GABRA3"
"310","ENSG00000012048","BRCA1"
"311","ENSG00000012061","ERCC1"
"312","ENSG00000012124","CD22"
"313","ENSG00000012171","SEMA3B"
"314","ENSG00000012174","MBTPS2"
"315","ENSG00000012211","PRICKLE3"
"316","ENSG00000012223","LTF"
"317","ENSG00000012232","EXTL3"
"318","ENSG00000012504","NR1H4"
"319","ENSG00000012660","ELOVL5"
"320","ENSG00000012779","ALOX5"
"321","ENSG00000012817","KDM5D"
"322","ENSG00000012822","CALCOCO1"
"323","ENSG00000012963","UBR7"
"324","ENSG00000012983","MAP4K5"
"325","ENSG00000013016","EHD3"
"326","ENSG00000013275","PSMC4"
"327","ENSG00000013288","MAN2B2"
"328","ENSG00000013293","SLC7A14"
"329","ENSG00000013297","CLDN11"
"330","ENSG00000013306","SLC25A39"
"331","ENSG00000013364","MVP"
"332","ENSG00000013374","NUB1"
"333","ENSG00000013375","PGM3"
"334","ENSG00000013392","RWDD2A"
"335","ENSG00000013441","CLK1"
"336","ENSG00000013503","POLR3B"
"337","ENSG00000013523","ANGEL1"
"338","ENSG00000013561","RNF14"
"339","ENSG00000013563","DNASE1L1"
"340","ENSG00000013573","DDX11"
"341","ENSG00000013583","HEBP1"
"342","ENSG00000013588","GPRC5A"
"343","ENSG00000013619","MAMLD1"
"344","ENSG00000013725","CD6"
"345","ENSG00000013810","TACC3"
"346","ENSG00000014123","UFL1"
"347","ENSG00000014138","POLA2"
"348","ENSG00000014164","ZC3H3"
"349","ENSG00000014216","CAPN1"
"350","ENSG00000014257","ACP3"
"351","ENSG00000014641","MDH1"
"352","ENSG00000014824","SLC30A9"
"353","ENSG00000014914","MTMR11"
"354","ENSG00000014919","COX15"
"355","ENSG00000015133","CCDC88C"
"356","ENSG00000015153","YAF2"
"357","ENSG00000015171","ZMYND11"
"358","ENSG00000015285","WAS"
"359","ENSG00000015413","DPEP1"
"360","ENSG00000015475","BID"
"361","ENSG00000015479","MATR3"
"362","ENSG00000015520","NPC1L1"
"363","ENSG00000015532","XYLT2"
"364","ENSG00000015568","RGPD5"
"365","ENSG00000015592","STMN4"
"366","ENSG00000015676","NUDCD3"
"367","ENSG00000016082","ISL1"
"368","ENSG00000016391","CHDH"
"369","ENSG00000016402","IL20RA"
"370","ENSG00000016490","CLCA1"
"371","ENSG00000016602","CLCA4"
"372","ENSG00000016864","GLT8D1"
"373","ENSG00000017260","ATP2C1"
"374","ENSG00000017427","IGF1"
"375","ENSG00000017483","SLC38A5"
"376","ENSG00000017797","RALBP1"
"377","ENSG00000018189","RUFY3"
"378","ENSG00000018236","CNTN1"
"379","ENSG00000018280","SLC11A1"
"380","ENSG00000018408","WWTR1"
"381","ENSG00000018510","AGPS"
"382","ENSG00000018607","ZNF806"
"383","ENSG00000018610","CXorf56"
"384","ENSG00000018625","ATP1A2"
"385","ENSG00000018699","TTC27"
"386","ENSG00000018869","ZNF582"
"387","ENSG00000019102","VSIG2"
"388","ENSG00000019144","PHLDB1"
"389","ENSG00000019169","MARCO"
"390","ENSG00000019186","CYP24A1"
"391","ENSG00000019485","PRDM11"
"392","ENSG00000019505","SYT13"
"393","ENSG00000019549","SNAI2"
"394","ENSG00000019582","CD74"
"395","ENSG00000019991","HGF"
"396","ENSG00000019995","ZRANB1"
"397","ENSG00000020129","NCDN"
"398","ENSG00000020181","ADGRA2"
"399","ENSG00000020219","CCT8L1P"
"400","ENSG00000020256","ZFP64"
"401","ENSG00000020426","MNAT1"
"402","ENSG00000020577","SAMD4A"
"403","ENSG00000020633","RUNX3"
"404","ENSG00000020922","MRE11"
"405","ENSG00000021300","PLEKHB1"
"406","ENSG00000021355","SERPINB1"
"407","ENSG00000021461","CYP3A43"
"408","ENSG00000021488","SLC7A9"
"409","ENSG00000021574","SPAST"
"410","ENSG00000021645","NRXN3"
"411","ENSG00000021762","OSBPL5"
"412","ENSG00000021776","AQR"
"413","ENSG00000021826","CPS1"
"414","ENSG00000021852","C8B"
"415","ENSG00000022267","FHL1"
"416","ENSG00000022277","RTF2"
"417","ENSG00000022355","GABRA1"
"418","ENSG00000022556","NLRP2"
"419","ENSG00000022567","SLC45A4"
"420","ENSG00000022840","RNF10"
"421","ENSG00000022976","ZNF839"
"422","ENSG00000023041","ZDHHC6"
"423","ENSG00000023171","GRAMD1B"
"424","ENSG00000023191","RNH1"
"425","ENSG00000023228","NDUFS1"
"426","ENSG00000023287","RB1CC1"
"427","ENSG00000023318","ERP44"
"428","ENSG00000023330","ALAS1"
"429","ENSG00000023445","BIRC3"
"430","ENSG00000023516","AKAP11"
"431","ENSG00000023572","GLRX2"
"432","ENSG00000023608","SNAPC1"
"433","ENSG00000023697","DERA"
"434","ENSG00000023734","STRAP"
"435","ENSG00000023839","ABCC2"
"436","ENSG00000023892","DEF6"
"437","ENSG00000023902","PLEKHO1"
"438","ENSG00000023909","GCLM"
"439","ENSG00000024048","UBR2"
"440","ENSG00000024422","EHD2"
"441","ENSG00000024526","DEPDC1"
"442","ENSG00000024862","CCDC28A"
"443","ENSG00000025039","RRAGD"
"444","ENSG00000025156","HSF2"
"445","ENSG00000025293","PHF20"
"446","ENSG00000025423","HSD17B6"
"447","ENSG00000025434","NR1H3"
"448","ENSG00000025708","TYMP"
"449","ENSG00000025770","NCAPH2"
"450","ENSG00000025772","TOMM34"
"451","ENSG00000025796","SEC63"
"452","ENSG00000025800","KPNA6"
"453","ENSG00000026025","VIM"
"454","ENSG00000026036","RTEL1-TNFRSF6B"
"455","ENSG00000026103","FAS"
"456","ENSG00000026297","RNASET2"
"457","ENSG00000026508","CD44"
"458","ENSG00000026559","KCNG1"
"459","ENSG00000026652","AGPAT4"
"460","ENSG00000026751","SLAMF7"
"461","ENSG00000026950","BTN3A1"
"462","ENSG00000027001","MIPEP"
"463","ENSG00000027075","PRKCH"
"464","ENSG00000027644","INSRR"
"465","ENSG00000027697","IFNGR1"
"466","ENSG00000027847","B4GALT7"
"467","ENSG00000027869","SH2D2A"
"468","ENSG00000028116","VRK2"
"469","ENSG00000028137","TNFRSF1B"
"470","ENSG00000028203","VEZT"
"471","ENSG00000028277","POU2F2"
"472","ENSG00000028310","BRD9"
"473","ENSG00000028528","SNX1"
"474","ENSG00000028839","TBPL1"
"475","ENSG00000029153","ARNTL2"
"476","ENSG00000029363","BCLAF1"
"477","ENSG00000029364","SLC39A9"
"478","ENSG00000029534","ANK1"
"479","ENSG00000029559","IBSP"
"480","ENSG00000029639","TFB1M"
"481","ENSG00000029725","RABEP1"
"482","ENSG00000029993","HMGB3"
"483","ENSG00000030066","NUP160"
"484","ENSG00000030110","BAK1"
"485","ENSG00000030304","MUSK"
"486","ENSG00000030419","IKZF2"
"487","ENSG00000030582","GRN"
"488","ENSG00000031003","FAM13B"
"489","ENSG00000031081","ARHGAP31"
"490","ENSG00000031691","CENPQ"
"491","ENSG00000031698","SARS1"
"492","ENSG00000031823","RANBP3"
"493","ENSG00000032219","ARID4A"
"494","ENSG00000032389","EIPR1"
"495","ENSG00000032444","PNPLA6"
"496","ENSG00000032742","IFT88"
"497","ENSG00000033011","ALG1"
"498","ENSG00000033030","ZCCHC8"
"499","ENSG00000033050","ABCF2"
"500","ENSG00000033100","CHPF2"
"501","ENSG00000033122","LRRC7"
"502","ENSG00000033170","FUT8"
"503","ENSG00000033178","UBA6"
"504","ENSG00000033327","GAB2"
"505","ENSG00000033627","ATP6V0A1"
"506","ENSG00000033800","PIAS1"
"507","ENSG00000033867","SLC4A7"
"508","ENSG00000034053","APBA2"
"509","ENSG00000034152","MAP2K3"
"510","ENSG00000034239","EFCAB1"
"511","ENSG00000034510","TMSB10"
"512","ENSG00000034533","ASTE1"
"513","ENSG00000034677","RNF19A"
"514","ENSG00000034693","PEX3"
"515","ENSG00000034713","GABARAPL2"
"516","ENSG00000034971","MYOC"
"517","ENSG00000035115","SH3YL1"
"518","ENSG00000035141","FAM136A"
"519","ENSG00000035403","VCL"
"520","ENSG00000035499","DEPDC1B"
"521","ENSG00000035664","DAPK2"
"522","ENSG00000035681","NSMAF"
"523","ENSG00000035687","ADSS2"
"524","ENSG00000035720","STAP1"
"525","ENSG00000035862","TIMP2"
"526","ENSG00000035928","RFC1"
"527","ENSG00000036054","TBC1D23"
"528","ENSG00000036257","CUL3"
"529","ENSG00000036448","MYOM2"
"530","ENSG00000036473","OTC"
"531","ENSG00000036530","CYP46A1"
"532","ENSG00000036549","ZZZ3"
"533","ENSG00000036565","SLC18A1"
"534","ENSG00000036672","USP2"
"535","ENSG00000036828","CASR"
"536","ENSG00000037042","TUBG2"
"537","ENSG00000037241","RPL26L1"
"538","ENSG00000037280","FLT4"
"539","ENSG00000037474","NSUN2"
"540","ENSG00000037637","FBXO42"
"541","ENSG00000037749","MFAP3"
"542","ENSG00000037757","MRI1"
"543","ENSG00000037897","METTL1"
"544","ENSG00000037965","HOXC8"
"545","ENSG00000038002","AGA"
"546","ENSG00000038210","PI4K2B"
"547","ENSG00000038219","BOD1L1"
"548","ENSG00000038274","MAT2B"
"549","ENSG00000038295","TLL1"
"550","ENSG00000038358","EDC4"
"551","ENSG00000038382","TRIO"
"552","ENSG00000038427","VCAN"
"553","ENSG00000038532","CLEC16A"
"554","ENSG00000038945","MSR1"
"555","ENSG00000039068","CDH1"
"556","ENSG00000039123","MTREX"
"557","ENSG00000039139","DNAH5"
"558","ENSG00000039319","ZFYVE16"
"559","ENSG00000039523","RIPOR1"
"560","ENSG00000039537","C6"
"561","ENSG00000039560","RAI14"
"562","ENSG00000039600","SOX30"
"563","ENSG00000039650","PNKP"
"564","ENSG00000039987","BEST2"
"565","ENSG00000040199","PHLPP2"
"566","ENSG00000040275","SPDL1"
"567","ENSG00000040341","STAU2"
"568","ENSG00000040487","SLC66A1"
"569","ENSG00000040531","CTNS"
"570","ENSG00000040608","RTN4R"
"571","ENSG00000040633","PHF23"
"572","ENSG00000040731","CDH10"
"573","ENSG00000040933","INPP4A"
"574","ENSG00000041353","RAB27B"
"575","ENSG00000041357","PSMA4"
"576","ENSG00000041515","MYO16"
"577","ENSG00000041802","LSG1"
"578","ENSG00000041880","PARP3"
"579","ENSG00000041982","TNC"
"580","ENSG00000041988","THAP3"
"581","ENSG00000042062","RIPOR3"
"582","ENSG00000042088","TDP1"
"583","ENSG00000042286","AIFM2"
"584","ENSG00000042304","C2orf83"
"585","ENSG00000042317","SPATA7"
"586","ENSG00000042429","MED17"
"587","ENSG00000042445","RETSAT"
"588","ENSG00000042493","CAPG"
"589","ENSG00000042753","AP2S1"
"590","ENSG00000042781","USH2A"
"591","ENSG00000042813","ZPBP"
"592","ENSG00000042832","TG"
"593","ENSG00000042980","ADAM28"
"594","ENSG00000043039","BARX2"
"595","ENSG00000043093","DCUN1D1"
"596","ENSG00000043143","JADE2"
"597","ENSG00000043355","ZIC2"
"598","ENSG00000043462","LCP2"
"599","ENSG00000043514","TRIT1"
"600","ENSG00000043591","ADRB1"
"601","ENSG00000044012","GUCA2B"
"602","ENSG00000044090","CUL7"
"603","ENSG00000044115","CTNNA1"
"604","ENSG00000044446","PHKA2"
"605","ENSG00000044459","CNTLN"
"606","ENSG00000044524","EPHA3"
"607","ENSG00000044574","HSPA5"
"608","ENSG00000046604","DSG2"
"609","ENSG00000046647","GEMIN8"
"610","ENSG00000046651","OFD1"
"611","ENSG00000046653","GPM6B"
"612","ENSG00000046774","MAGEC2"
"613","ENSG00000046889","PREX2"
"614","ENSG00000047056","WDR37"
"615","ENSG00000047188","YTHDC2"
"616","ENSG00000047230","CTPS2"
"617","ENSG00000047249","ATP6V1H"
"618","ENSG00000047315","POLR2B"
"619","ENSG00000047346","FAM214A"
"620","ENSG00000047365","ARAP2"
"621","ENSG00000047410","TPR"
"622","ENSG00000047457","CP"
"623","ENSG00000047578","KATNIP"
"624","ENSG00000047579","DTNBP1"
"625","ENSG00000047597","XK"
"626","ENSG00000047617","ANO2"
"627","ENSG00000047621","C12orf4"
"628","ENSG00000047634","SCML1"
"629","ENSG00000047644","WWC3"
"630","ENSG00000047648","ARHGAP6"
"631","ENSG00000047662","FAM184B"
"632","ENSG00000047849","MAP4"
"633","ENSG00000047932","GOPC"
"634","ENSG00000047936","ROS1"
"635","ENSG00000048028","USP28"
"636","ENSG00000048052","HDAC9"
"637","ENSG00000048140","TSPAN17"
"638","ENSG00000048162","NOP16"
"639","ENSG00000048342","CC2D2A"
"640","ENSG00000048392","RRM2B"
"641","ENSG00000048405","ZNF800"
"642","ENSG00000048462","TNFRSF17"
"643","ENSG00000048471","SNX29"
"644","ENSG00000048540","LMO3"
"645","ENSG00000048544","MRPS10"
"646","ENSG00000048545","GUCA1A"
"647","ENSG00000048649","RSF1"
"648","ENSG00000048707","VPS13D"
"649","ENSG00000048740","CELF2"
"650","ENSG00000048828","FAM120A"
"651","ENSG00000048991","R3HDM1"
"652","ENSG00000049089","COL9A2"
"653","ENSG00000049130","KITLG"
"654","ENSG00000049167","ERCC8"
"655","ENSG00000049192","ADAMTS6"
"656","ENSG00000049239","H6PD"
"657","ENSG00000049245","VAMP3"
"658","ENSG00000049246","PER3"
"659","ENSG00000049247","UTS2"
"660","ENSG00000049249","TNFRSF9"
"661","ENSG00000049283","EPN3"
"662","ENSG00000049323","LTBP1"
"663","ENSG00000049449","RCN1"
"664","ENSG00000049540","ELN"
"665","ENSG00000049541","RFC2"
"666","ENSG00000049618","ARID1B"
"667","ENSG00000049656","CLPTM1L"
"668","ENSG00000049759","NEDD4L"
"669","ENSG00000049768","FOXP3"
"670","ENSG00000049769","PPP1R3F"
"671","ENSG00000049860","HEXB"
"672","ENSG00000049883","PTCD2"
"673","ENSG00000050030","NEXMIF"
"674","ENSG00000050130","JKAMP"
"675","ENSG00000050165","DKK3"
"676","ENSG00000050327","ARHGEF5"
"677","ENSG00000050344","NFE2L3"
"678","ENSG00000050393","MCUR1"
"679","ENSG00000050405","LIMA1"
"680","ENSG00000050426","LETMD1"
"681","ENSG00000050438","SLC4A8"
"682","ENSG00000050555","LAMC3"
"683","ENSG00000050628","PTGER3"
"684","ENSG00000050730","TNIP3"
"685","ENSG00000050748","MAPK9"
"686","ENSG00000050767","COL23A1"
"687","ENSG00000050820","BCAR1"
"688","ENSG00000051009","FAM160A2"
"689","ENSG00000051108","HERPUD1"
"690","ENSG00000051128","HOMER3"
"691","ENSG00000051180","RAD51"
"692","ENSG00000051341","POLQ"
"693","ENSG00000051382","PIK3CB"
"694","ENSG00000051523","CYBA"
"695","ENSG00000051596","THOC3"
"696","ENSG00000051620","HEBP2"
"697","ENSG00000051825","MPHOSPH9"
"698","ENSG00000052126","PLEKHA5"
"699","ENSG00000052344","PRSS8"
"700","ENSG00000052723","SIKE1"
"701","ENSG00000052749","RRP12"
"702","ENSG00000052795","FNIP2"
"703","ENSG00000052802","MSMO1"
"704","ENSG00000052841","TTC17"
"705","ENSG00000052850","ALX4"
"706","ENSG00000053108","FSTL4"
"707","ENSG00000053254","FOXN3"
"708","ENSG00000053328","METTL24"
"709","ENSG00000053371","AKR7A2"
"710","ENSG00000053372","MRTO4"
"711","ENSG00000053438","NNAT"
"712","ENSG00000053501","USE1"
"713","ENSG00000053524","MCF2L2"
"714","ENSG00000053702","NRIP2"
"715","ENSG00000053747","LAMA3"
"716","ENSG00000053770","AP5M1"
"717","ENSG00000053900","ANAPC4"
"718","ENSG00000053918","KCNQ1"
"719","ENSG00000054116","TRAPPC3"
"720","ENSG00000054118","THRAP3"
"721","ENSG00000054148","PHPT1"
"722","ENSG00000054179","ENTPD2"
"723","ENSG00000054219","LY75"
"724","ENSG00000054267","ARID4B"
"725","ENSG00000054277","OPN3"
"726","ENSG00000054282","SDCCAG8"
"727","ENSG00000054356","PTPRN"
"728","ENSG00000054392","HHAT"
"729","ENSG00000054523","KIF1B"
"730","ENSG00000054598","FOXC1"
"731","ENSG00000054611","TBC1D22A"
"732","ENSG00000054654","SYNE2"
"733","ENSG00000054690","PLEKHH1"
"734","ENSG00000054793","ATP9A"
"735","ENSG00000054796","SPO11"
"736","ENSG00000054803","CBLN4"
"737","ENSG00000054938","CHRDL2"
"738","ENSG00000054965","FAM168A"
"739","ENSG00000054967","RELT"
